Asset/Collateral,Asset Contract Address,Asset Decimals,Collateral Contract Address,Collateral Decimals,Pool Address,TVL ($),Borrowed ($),Supply APR %,Available ($),Borrow APR %
BAND/ADA,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xd17Eb8C61e6C453b42eF103FFb145fe73A84B697,0.00,0.00,-,0.00,0.00
ADA/USDC,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xd285c931144cc3f7E117b0452800df895790F376,0.00,0.00,-,0.00,0.00
ADA/XVS,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18,0xd6CFf8B99e89F3A8cdD0611B4a89AE46F1E3DC3a,0.00,0.00,-,0.00,0.00
DOT/CAKE,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0xd7AD13D6f8886541D1E92418f0eB500CbBbc83F0,0.00,0.00,-,0.00,0.00
DAI/YFI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18,0xd94a848449Ec6953cb8112CCD25DD5B8Fd08CA2d,0.00,0.00,-,0.00,0.00
XVS/BUSD,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xDbE43B02689324FFD4d78a702fED36Df15fE0e05,0.00,0.00,-,0.00,0.00
CAKE/DAI,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,0xDfd429384BaEDF05B716F7D829F3d364489dd907,0.00,0.00,-,0.00,0.00
VAI/YFI,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18,0xe2C9005F03EdBc11A209Cfa6E37434fB301cD357,0.00,0.00,-,0.00,0.00
FIL/WBNB, 0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,18,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18,0xE3557FFB1979276403Ac562cF06E00F0CFeD1852,0.00,0.00,-,0.00,0.00
DOT/FIL,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,18,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,18,0xE43722bB6a98E57308A0c56be2B0853844B239A1,0.00,0.00,-,0.00,0.00
CREAM/BUSD, 0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xeA52F1F1D0e72b2F0De6585D87B0DcF152131E2B,0.00,0.00,-,0.00,0.00
CAKE/USDT,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0x55d398326f99059ff775485246999027b3197955,18,0xee3833B38Ca9c134d4517A7C580f62D5A6DcE02E,0.00,0.00,-,0.00,0.00
DAI/BTCB,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,18,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,18,0xf0A2CEF21D73DA8cB28ce341aDBBe3057B9565D4,0.00,0.00,-,0.00,0.00
XTZ/YFI,0x16939ef78684453bfdfb47825f8a5f714f12623a,18,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,18,0xf23191222c56772B5Ad92E46cE05AeaC5c1FAF19,0.00,0.00,-,0.00,0.00
CAKE/USDC,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,0xF3050277E8514F48F70B99cDd45FeE7c55410Db3,0.00,0.00,-,0.00,0.00
ADA/CREAM,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,18,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888,18,0xf9c8E6631819f9394a3A1ba1A745372aa8d4FcDf,0.00,0.00,-,0.00,0.00
BAND/BUSD,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,0xff4fB5bEDdCcC592D3516Db81aafdf5cF4fa7F8a,0.00,0.00,-,0.00,0.00
